genres,id,name,popularity
metropopolis,7w29UYBi0qsHi5RTcv3lmA,Björk,62
permanent wave,7w29UYBi0qsHi5RTcv3lmA,Björk,62
trip hop,7w29UYBi0qsHi5RTcv3lmA,Björk,62
alternative hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
east coast hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
instrumental hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
slowcore,5AyEXCtu3xnnsTGCo4RVZh,Duster,67
europop,0LcJLqbBmaGUft1e9Mm8HV,ABBA,79
swedish pop,0LcJLqbBmaGUft1e9Mm8HV,ABBA,79
crank wave,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
indie rock,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
london indie,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
uk post-punk revival,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
classic japanese jazz,4fP5zCJRf168wiWHG9tR9m,セキトオ・シゲオ,41
british invasion,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
classic rock,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
merseybeat,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
psychedelic rock,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
rock,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
classic j-rock,1g8HCTiMwBtFtpRR9JXAZR,Fishmans,43
j-rock,1g8HCTiMwBtFtpRR9JXAZR,Fishmans,43
japanese dream pop,1g8HCTiMwBtFtpRR9JXAZR,Fishmans,43
anime,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
classic city pop,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
japanese new wave,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
techno kayo,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
anime,1NRrtMvT3o1TI6I8XCuweq,MYTH & ROID,53
j-pixie,1NRrtMvT3o1TI6I8XCuweq,MYTH & ROID,53
hypnagogic pop,7r8EHfxHZHU16sUV3BEH1t,Macabre Plaza,58
utopian virtual,7r8EHfxHZHU16sUV3BEH1t,Macabre Plaza,58
blackgaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
doomgaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
dream pop,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
nu gaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
folktronica,0zGRuj0aQ3mM6i2dQoO8h0,Mid-Air Thief,37
korean indie rock,0zGRuj0aQ3mM6i2dQoO8h0,Mid-Air Thief,37
jazz trio,4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,70
alternative rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
art punk,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
dance rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
funk rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
new wave,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
permanent wave,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
post-punk,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
zolo,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
abstract hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
alternative hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
psychedelic hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
gen z singer-songwriter,7gW0r5CkdEUMm42w9XpyZO,Laufey,80
diy emo,4KEHIUSoWCcqrk8AddTE1O,Panchiko,55
city pop,0O1UtbTe4ca7HabaiMhYZ7,KIRINJI,48
j-rock,0O1UtbTe4ca7HabaiMhYZ7,KIRINJI,48
alternative hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
experimental hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
industrial hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
underground hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
