"artist","album","track"
"toby fox","deltarune chapter 1 (original game soundtrack)","a town called hometown"
"toby fox","deltarune chapter 1 (original game soundtrack)","another him"
"toby fox","deltarune chapter 1 (original game soundtrack)","before the story"
"toby fox","deltarune chapter 1 (original game soundtrack)","hip shop"
"toby fox","deltarune chapter 1 (original game soundtrack)","you can always come home"
"toby fox","deltarune chapter 2 (original game soundtrack)","lost girl"
"toby fox","deltarune chapter 2 (original game soundtrack)","my castle town"
"toby fox","undertale piano collections 2","chill"
"toby fox","undertale soundtrack","asgore"
"toby fox","undertale soundtrack","barrier"
"toby fox","undertale soundtrack","bring it in, guys!"
"toby fox","undertale soundtrack","but the earth refused to die"
"toby fox","undertale soundtrack","can you really call this a hotel, i didn't receive a mint on my pillow or anything"
"toby fox","undertale soundtrack","confession"
"toby fox","undertale soundtrack","dating fight!"
"toby fox","undertale soundtrack","dating start!"
"toby fox","undertale soundtrack","death by glamour"
"toby fox","undertale soundtrack","dogsong"
"toby fox","undertale soundtrack","enemy approaching"
"toby fox","undertale soundtrack","fallen down"
"toby fox","undertale soundtrack","fallen down (reprise)"
"toby fox","undertale soundtrack","for the fans"
"toby fox","undertale soundtrack","good night"
"toby fox","undertale soundtrack","his theme"
"toby fox","undertale soundtrack","home"
"toby fox","undertale soundtrack","home (music box)"
"toby fox","undertale soundtrack","hopes and dreams"
"toby fox","undertale soundtrack","it's raining somewhere else"
"toby fox","undertale soundtrack","its raining somewhere else"
"toby fox","undertale soundtrack","megalovania"
"toby fox","undertale soundtrack","oh! one true love"
"toby fox","undertale soundtrack","once upon a time"
"toby fox","undertale soundtrack","premonition"
"toby fox","undertale soundtrack","quiet water"
"toby fox","undertale soundtrack","respite"
"toby fox","undertale soundtrack","ruins"
"toby fox","undertale soundtrack","sans."
"toby fox","undertale soundtrack","shop"
"toby fox","undertale soundtrack","snowy"
"toby fox","undertale soundtrack","spear of justice"
"toby fox","undertale soundtrack","spider dance"
"toby fox","undertale soundtrack","undertale"
"toby fox","undertale soundtrack","uwa!! so heats!!♫"
"toby fox","undertale soundtrack","uwa!! so temperate♫"
"toby fox","undertale soundtrack","you idiot"
"toby fox, david peacock, augustine mayuga gonzales","undertale piano collections 2","chill"
"toco","instalacao do samba","instalacao do samba"
"toco","memoria","meu rio"
"toco","outro lugar","bom motivo"
"toco","outro lugar","guarapiranga"
"toco","outro lugar","simples"
"toco y me voy","mochila de garagem, vol. 2","caroleta"
"todd rundgren","something / anything?","i saw the light - 2015 remaster"
"todd rundgren","todd","everybody's going to heaven / king kong reggae - 2015 remaster"
"todd rundgren","todd","how about a little fanfare? - 2015 remaster"
"todd rundgren","todd","izzat love? - 2015 remaster"
"todd rundgren","todd","sidewalk cafe - 2015 remaster"
"toe","for long tomorrow","after image"
"toe","for long tomorrow","グッドバイ -album version-"
"toe","new sentimentality - ep","グッドバイ"
