"artist","album","track"
"$atori zoom","phase 4: the final chapter","ripstick"
"$ilkmoney","g.t.f.o.m.d: there’s not enough room for all you motha fuckas to be on it like this","my potna dem"
"$not","- tragedy +","beretta (feat. wifisfuneral)"
"$not","- tragedy +","fall in love"
"$not","- tragedy +","gosha"
"$not","- tragedy +","monarch"
"$not","- tragedy +","pressure"
"$not","- tragedy +","what's the problem"
"$not","- tragedy +","you know (intro)"
"$not","beautiful havoc","""life"""
"$not","beautiful havoc","demanding"
"$not","beautiful havoc","horizon"
"$not","beautiful havoc","like me (feat. iann dior)"
"$not","beautiful havoc","revenge"
"$not","beautiful havoc","sangria (feat. denzel curry)"
"$not","beautiful havoc","toni braxton"
"$not","beautiful havoc","watch out (intro)"
"$not","beautiful havoc","who do i trust"
"$not","billy boy","billy boy"
"$not","doja","doja"
"$not","drip","drip"
"$not","ethereal","fighting me"
"$not","gucci","gucci"
"$not","kill me bitch","kill me bitch"
"$not","megan","megan"
"$not","motorola","motorola"
"$not","simple","simple"
"$not","stamina","stamina"
"$not","whipski (feat. lil skies & internet money)","whipski (feat. lil skies & internet money)"
"$uicideboy$","7th or st. tammany","leave your things behind"
"$uicideboy$","7th or st. tammany","straw chairs"
"$uicideboy$","7th or st. tammany","vices"
"$uicideboy$","big shot cream soda","big shot cream soda"
"$uicideboy$","black $uicide side b: $uicide hustle","chilly gentilly"
"$uicideboy$","black $uicide side b: $uicide hustle","who's pills are these? (what bag were they in?)"
"$uicideboy$","dark side of the clouds","grayscale"
"$uicideboy$","dark side of the clouds","marlboros & white widow"
"$uicideboy$","dirtiestnastiest$uicide","i dream of chrome"
"$uicideboy$","dirtiestnastiest$uicide","sorry for the delay"
"$uicideboy$","eternal grey","chariot of fire"
"$uicideboy$","eternal grey","eclipse"
"$uicideboy$","eternal grey","it's hard to win when you always lose"
"$uicideboy$","eternal grey","leave your things behind ii"
"$uicideboy$","eternal grey","uglier"
"$uicideboy$","eternal grey","ultimate $uicide"
"$uicideboy$","for the last time","for the last time"
"$uicideboy$","g.r.e.y.g.o.d.s.","g.r.e.y.g.o.d.s."
"$uicideboy$","gray/grey","#1 stunna"
"$uicideboy$","gray/grey","$hrimp poboy"
"$uicideboy$","gray/grey","gabapentin getaway"
"$uicideboy$","gray/grey","kill yourself (pt. ii)"
"$uicideboy$","grey sheep","second coming"
"$uicideboy$","grey sheep ii","chevrolet - pimpalicious candy cane mane '74 remix"
"$uicideboy$","grey sheep ii","do you believe in god?"
"$uicideboy$","grey sheep ii","the nail to the cross"
"$uicideboy$","high tide in the snake's nest","$outh $ide $uicide"
"$uicideboy$","high tide in the snake's nest","ugly"
"$uicideboy$","i want to die in new orleans","122 days"
"$uicideboy$","i want to die in new orleans","bring out your dead"
"$uicideboy$","i want to die in new orleans","carrollton"
"$uicideboy$","kill yourself part ix: the soulseek saga","hair"
"$uicideboy$","kill yourself part ix: the soulseek saga","harvest moon"
"$uicideboy$","kill yourself part vii: the fuck god saga","333333 (rare * '96 bootleg ca$$ette rip tre$ $ei$) - bonus track"
"$uicideboy$","kill yourself part vii: the fuck god saga","back from the dead"
"$uicideboy$","kill yourself part vii: the fuck god saga","crucify me wearing tommy"
"$uicideboy$","kill yourself part vii: the fuck god saga","vivivi"
"$uicideboy$","kill yourself part vii: the fuck god saga","where's your god?"
"$uicideboy$","kill yourself part x: the resurrection saga","flodgin'"
"$uicideboy$","kill yourself part x: the resurrection saga","limp wrist"
"$uicideboy$","kill yourself part x: the resurrection saga","sleep walk"
"$uicideboy$","kill yourself part x: the resurrection saga","smoked out, loced out - part ii"
"$uicideboy$","kill yourself part xi: the kingdom come saga","you're now tuning into 66.6 fm with dj rapture (the hottest hour of the evening)"
"$uicideboy$","kill yourself part xv: the coast of ashes saga","styrofoam"
"$uicideboy$","long term effects of suffering","degeneration in the key of a minor"
"$uicideboy$","long term effects of suffering","if self-destruction was an olympic event, i’d be tonya harding"
"$uicideboy$","long term effects of suffering","new profile pic"
"$uicideboy$","my liver will handle what my heart can't","kill yourself (part iii)"
"$uicideboy$","my liver will handle what my heart can't","reign in blood"
"$uicideboy$","my swisher sweet, but my sig sauer","my swisher sweet, but my sig sauer"
"$uicideboy$","shameless $uicide","went to rehab and all i got was this lousy t-shirt"
"$uicideboy$","stop staring at the shadows","...and to those i love, thanks for sticking around"
"$uicideboy$","stop staring at the shadows","bizarro"
"$uicideboy$","stop staring at the shadows","putrid pride"
"$uicideboy$","stop staring at the shadows","what the fuck is happening"
"$uicideboy$","yungdeathlillife","april mourning"
"$uicideboy$","yungdeathlillife","lte"
"$ün","sun & moon","with you"
"(yoru to)sampo","はだかの世界","はだかの世界"
".........","blank","ne"
".anxious.","3am ep","memories"
".anxious.","3am ep","one of those days"
".anxious.","3am ep","seoul train"
".anxious.","3am ep","sleepless nights"
".anxious.","3am ep","tahoe"
".anxious.","inhale/exhale/disappear","time stands still"
".anxious.","inhale/exhale/disappear","we fell into it like a daydream or a fever"
".clouds","twilight walks","lilac days"
".eehou","the essentials : eehou","we think too much"
".ihaveaface","bloom","bloom"
".ihaveaface","downhearted","downhearted"
".ihaveaface","jazz space dinner","bouncee"
".ihaveaface","jazz space dinner","saturday chillin'"
".ihaveaface","shinrin-yoku","shinrin-yoku"
".sinh","one for kurt","one for kurt"
".uzu","cloudy summer","cloudy summer"
".uzu","my gamecube broke.","my gamecube broke."
"0.8syooogeki","zoo&lennon","black cat named cola"
"0.8syooogeki","zoo&lennon","the moon of the 28th day"
"0.8syooogeki","zoo&lennon","the most beautiful sickness in this world"
"0.8秒と衝撃。","zoo&lennon","postman john"
"00pium !*","come home soon","come home soon"
"015b","new edition 41","not bad (feat. dawon)"
"015b","second episode","비워진 너의 자리속에"
"015b","second episode","친구와 연인"
"015b","yearbook 2018","my hair is green"
"03 greedo","the wolf of grape street","substance"
"070 phi","my father's gun","the deep end"
"070 shake","modus vivendi","morrow"
"070 shake","skin and bones","skin and bones"
"1-800-lost","irusu","minus"
"1-800-lost","itsu","eiji"
"1-800-lost","itsu","follow me"
"1-800-lost","itsu","linger"
"1-800-lost","itsu","think about u"
"1-800-lost","itsu","trio"
"1-800-lost","oh! if i could only have you","dreaming"
"1-800-lost","oh! if i could only have you","honey"
"1-800-lost","oh! if i could only have you","that day"
"1-800-lost","oh! if i could only have you","without a word"
"1-800-lost","ukiyo","blurry"
"1-800-lost","ukiyo","ennui"
"1-800-lost","ukiyo","fife"
"1-800-lost","ukiyo","kokiri"
"1-800-lost","ukiyo","wanderlust"
"100 gecs","100 gecs","25 bands and a geccco"
"100 gecs","100 gecs","bloodstains"
"100 gecs","100 gecs","dog food"
"100 gecs","100 gecs","fuck teeth"
"100 gecs","100 gecs","gum"
"100 gecs","1000 gecs","745 sticky"
"100 gecs","1000 gecs","800 db cloud"
"100 gecs","1000 gecs","gec 2 ü"
"100 gecs","1000 gecs","gecgecgec"
"100 gecs","1000 gecs","hand crushed by a mallet"
"100 gecs","1000 gecs","money machine"
"100 gecs","1000 gecs","ringtone"
"100 gecs","1000 gecs","stupid horse"
"100 gecs","1000 gecs","xxxi_wud_nvrstøp_üxxx"
"100 gecs","1000 gecs and the tree of clues","gec 2 ü (remix) [feat. dorian electra]"
"100 gecs","doritos & fritos","doritos & fritos"
"100 gecs","mememe","mememe"
"100%","it gets darker","in a dream"
"10cm","do you think of me? 방에 모기가 있어","do you think of me?"
"116","california dreamin","california dreamin"
"116","moshpit","moshpit"
"11vx","hero!","hero!"
"12 stones","12 stones","broken"
"1415","dear : x","선을 그어 주던가"
"15.","luna","luna"
"17 seventeen","время","время"
"17586063","the ten commandments","flamart"
"17586063","the ten commandments","u-ni-corn"
"17586063","免罪符","8143"
"17586063","免罪符","concert for an organ and a guitar"
"17586063","免罪符","indulgentia"
"18 carat affair","60/40","pretty girls i don't know anymore"
"18 carat affair","vintage romance","desire"
"18 carat affair","vintage romance","last night"
"1930","misty","misty"
"1986 omega tribe","35th anniversary album ""to your summertime smile""","aquarium in tears"
"1986 omega tribe","35th anniversary album ""to your summertime smile""","cosmic love"
"1986 omega tribe","35th anniversary album ""to your summertime smile""","kimi ha 1000%"
"1986 omega tribe","35th anniversary album ""to your summertime smile""","night child"
"1986 omega tribe","35th anniversary album ""to your summertime smile""","stay girl stay pure"
"1986 omega tribe","35th anniversary album ""to your summertime smile""","super chance"
"1986 omega tribe","cosmic love","cosmic love"
"1986 omega tribe","crystal night","counterlight"
"1986 omega tribe","crystal night","crystal night"
"1986 omega tribe","crystal night","i'll never forget you"
"1986 omega tribe","crystal night","lady free"
"1986 omega tribe","crystal night","phoenix"
"1986 omega tribe","crystal night","super chance"
"1986 omega tribe","miss lonely eyes","interstate"
"1986 omega tribe","miss lonely eyes","miss lonely eyes"
"1986 omega tribe","navigator","21 candles"
"1986 omega tribe","navigator","blue reef"
"1986 omega tribe","navigator","kimi ha 1000%"
"1986 omega tribe","navigator","kimi ha 1000％"
"1986 omega tribe","navigator","navigator"
"1986 omega tribe","navigator","night child"
"1986 omega tribe","navigator","north shore"
"1986 omega tribe","navigator","older girl"
"1986 omega tribe","navigator","you belong to him"
"1986 omega tribe","navigator","君は1000%"
"1986 omega tribe","stay girl stay pure","sand on the seat"
"1986 omega tribe","stay girl stay pure","stay girl stay pure"
"1nonly","ash kaashh","ash kaashh"
"1nonly","bunny girl","bunny girl"
"1nonly","come thru (feat. shady moon & ciscaux)","come thru (feat. shady moon & ciscaux)"
"1nonly","doc martens","doc martens"
"1nonly","fuck you!","fuck you!"
"1nonly","goth bitch","goth bitch"
"1nonly","i fell in love with you one night in june","i fell in love with you one night in june"
"1nonly","i think i love you","i think i love you"
"1nonly","liu kang","liu kang"
"1nonly","moon and stars","moon and stars"
"1nonly","pretty girl","pretty girl"
"1nonly","shakira!","shakira!"
"1nonly","sometimes i think of u","sometimes i think of u"
"1nonly","sorry, i like you","sorry, i like you"
"1nonly","stay with me","stay with me"
"1nonly","sunkissed shawty","sunkissed shawty"
"1nonly & ciscaux & savage ga$p","move!","move!"
"2 mello","celeste b-sides (original game soundtrack)","mirror temple - mirror magic mix"
"2 mello","later alligator (original video game soundtrack)","alligator public transit"
"2 mello","superliminal: the lo-fi mix","rainy season"
"2 mello","superliminal: the lo-fi mix","see u next time"
"2 mello","superliminal: the lo-fi mix","summer walk"
"2003 toyota corolla","2003 toyota corolla","2005 toyota corolla"
"2003 toyota corolla","2003 toyota corolla","2010 toyota corolla"
"21 savage","i am > i was","a lot"
"21 savage","i am > i was","all my friends"
"21 savage","i am > i was","asmr"
"21 savage","i am > i was","ball w/o you"
"21 savage","savage mode ii","brand new draco"
"21 savage","savage mode ii","my dawg"
"21 savage","slaughter king","dip dip"
"24kgoldn","dropped outta college","valentino"
"24kgoldn","el dorado","3, 2, 1"
"25時、ナイトコードで。","悔やむと書いてミライ/携帯恋話/ジャックポットサッドガール","携帯恋話 (feat. 東雲絵名&暁山瑞希&初音ミク)"
"279empirebeats","dangerous piece cure","dangerous piece cure"
"2am club","evidence","evidence"
"2am club","what did you think was going to happen?","dearly departed"
"2am club","what did you think was going to happen?","faster babe"
"2am club","what did you think was going to happen?","flashing room"
"2am club","what did you think was going to happen?","hurricane"
"2am club","what did you think was going to happen?","let me down easy"
"2am club","what did you think was going to happen?","make you mine"
"2am club","what did you think was going to happen?","nobody's in love"
"2am club","what did you think was going to happen?","only for me"
"2am club","what did you think was going to happen?","same night sky"
"2am club","what did you think was going to happen?","saturday night"
"2am club","what did you think was going to happen?","worry about you"
"2nd exit","2nd exit","if you wouldn't mind"
"2nd exit","2nd exit","it's alright"
"2pac","all eyez on me","ambitionz az a ridah"
"2pac","all eyez on me","california love (remix) (ft. dr. dre, roger troutman) - remix"
"2pac","strictly 4 my n.i.g.g.a.z...","keep ya head up"
"2pm","republic of 2pm","take off"
"2xxx","life","island (rough)"
"2xxx!","life","dawn"
"2xxx!","life","piss on me"
"2xxx!","life+unconsciousness","girl, interrupted"
"3000m","super mario world (original game soundtrack)","athletic"
"3000m","super mario world (original game soundtrack)","forest of illusion"
"3000m","super mario world (original game soundtrack)","game over"
"3000m","super mario world (original game soundtrack)","title"
"3000m","super mario world (original game soundtrack)","underwater"
"3000m","the legend of zelda: phantom hourglass, vol. 1","outset island: the storyteller's memories"
"3000m","the legend of zelda: phantom hourglass, vol. 1","zelda's lullaby: the storyteller's memories"
"3000m","the legend of zelda: phantom hourglass, vol. 2","a battle across the world (from ""the legend of zelda: phantom hourglass"")"
"3000m","the legend of zelda: phantom hourglass, vol. 2","fairy fountain (from ""the legend of zelda: phantom hourglass"")"
"3000m","undertale, vol. 1","fallen down"
"333","broken feelings","slide"
"347aidan","dancing in my room","dancing in my room"
"347aidan","demons and monsters","demons and monsters"
"36?","vic","vic"
"3dmg","star point tactics","hittin' switchez"
"3nd","we dance × avec toi","untroubled terror"
"3nsty","foreverlonestar","foreverlonestar"
"3vs","step like","step like"
"3年e組うた担(渚&茅野&業&磯貝&前原)","バイバイ yesterday","バイバイ yesterday"
"40mp","short story","the flower of raison d'etre"
"44neverluv","emo","12"
"44neverluv","emo","scars"
"4d nature recordings","39 nature tracks","distant thunder in the east"
"4d nature recordings","sleep noise","waking up rain"
"4s4ki","your dreamland","i picked up a prostitute's iphone"
"5'nizza","пятница","весна (правильная версия)"
"5'nizza","пятница","солдат"
"50 cent","curtis","ayo technology"
"50 cent","get rich or die tryin'","21 questions"
"50 cent","get rich or die tryin'","if i can't"
"50 cent","get rich or die tryin'","in da club"
"50 cent","get rich or die tryin'","many men (wish death)"
"50 cent","get rich or die tryin'","p.i.m.p."
"50 cent","get rich or die tryin'","patiently waiting"
"50 cent","the massacre","candy shop"
"50 cent","the massacre","disco inferno"
"50 cent","the massacre","just a lil bit"
"50 cent","window shopper","i'll whip ya head boy"
"50 cent","window shopper","window shopper"
"608","lunatique","lunatique"
"617kevin","on top","on top"
"7!!","ドキドキ","ラヴァーズ"
"7am","relapse","you need it"
"800 cherries","opuscula (2022 remaster)","tulipa (asamoya) - remastered"
"800 cherries","romantico","painty paint pots"
"800 cherries","romantico","rainy poppy field"
"800 cherries","romantico (2022 remaster)","honeydew blue - remastered"
"800 cherries","romantico (2022 remaster)","romantico - remastered"
"808vic","vic's odyssey","vic's odyssey"
"808vic","wav's for the summer","open up"
"80purppp","violet high","soleil"
"8485","1:15","1:15"
"84faces","dead by 84","wolves"
"87dance","ghosts are bored","ghosts are bored"
"87dance","soldout smile","how can i forget you girl"
"88-keys","the death of adam","stay up! (viagra)"
"88century","go kitty go!","go kitty go!"
"88century","here comes the boy (theme)","here comes the boy - theme"
"88century","petit poney","petit poney"
"88rising","california (feat. warren hue)","california (feat. warren hue)"
"88rising","don't go changing","don't go changing"
"88rising","head in the clouds","history"
"88rising","head in the clouds","lover boy 88"
"88rising","head in the clouds","peach jam"
"88rising","head in the clouds ii","tequila sunrise (feat. august 08 & goldlink)"
"88rising","head in the clouds ii","these nights"
"88rising","the weekend","the weekend"
"88rising, phum viphurit, higher brothers","head in the clouds","lover boy 88"
"88rising, rich brian","head in the clouds","history"
"8d8eats","la:te","00:00"
"8lueredd","sweet dreams (lofi hip-hop)","sweet dreams - lofi hip-hop"
"8percent","end of the world","end of the world"
"8percent","shinigami","shinigami"
"90sflav","collection","balmy"
"90sflav","collection","call me"
"90sflav","collection","fantasy"
"90sflav","collection","sight"
"90sflav","collection","southlands 94'"
"90sflav","collection","wish you still felt this way"
"90sflav","collection ii","april"
"90sflav","collection ii","bricks"
"90sflav","collection ii","fo' the sky"
"90sflav","collection ii","ingleside"
"90sflav","collection ii","полуночная сессия"
"90sflav","collection ii","прошлой ночью"
"90yonge st.","space purple flower traveling","space purple flower traveling"
"92","dusty shelves","entrust"
"92914","okinawa","okinawa"
"92914","starlight","starlight"
"92914","sunset","sunset"
"97special","before sunrise","flower in bloom"
"97special","before sunrise","jade"
"97special","before sunrise","lazy summer days"
"97special","before sunrise","nighttime"
"97special","before sunrise","pluvia"
"97special","before sunrise","ten minutes"
"97special","daydream","life"
"97special","five memories","beautiful dream"
"97special","five memories","because..."
"97special","five memories","comeback sweetheart"
"97special","five memories","elle"
"97special","five memories","oyasumi mutsumi"
"97special","from me to you","hope"
"97special","from me to you","stay"
"97special","listen to my story","again"
"97special","listen to my story","because..."
"97special","listen to my story","between the bar"
"97special","listen to my story","decision"
"97special","listen to my story","for u"
"97special","listen to my story","je t'aime"
"97special","listen to my story","lost love"
"97special","listen to my story","our story"
"97special","listen to my story","she's gone"
"97special","listen to my story","she's special"
"97special","listen to my story","sleep all day"
"97special","listen to my story","together with the moonlight"
"97special","listen to my story","with you"
"97special","the book of love","a secret diary"
"97special","the book of love","don't worry about me"
"97special","the book of love","spring rain"
"97special","the book of love","the last page"
"97special","the book of love","there's nothing"
"97special","the book of love","together with the moonlight"
"9mm parabellum bullet","dawning","answer and answer"
"9mm parabellum bullet","dawning","caution!!"
"9mm parabellum bullet","dawning","grasshopper"
"9mm parabellum bullet","dawning","scarlet shoes"
"9mm parabellum bullet","dawning","starlight"
"9mm parabellum bullet","dawning","the lightning"
"9mm parabellum bullet","dawning","the silence"
"9mm parabellum bullet","dawning","wild west mustang"
"9mm parabellum bullet","dawning","zero gravity"
"9mm parabellum bullet","dawning","コスモス"
"9mm parabellum bullet","dawning","シベリアンバード ~涙の渡り鳥~"
"9mm parabellum bullet","dawning","黒い森の旅人"
"9mm parabellum bullet","deep blue","carry on"
"9mm parabellum bullet","movement","新しい光"
"9mm parabellum bullet","revolutionary","black market blues - album mix"
"9mm parabellum bullet","termination","the world - album ver."
"9mm parabellum bullet","the world e.p.","mr. suicide - new recording"
"9mm parabellum bullet","the world e.p.","talking machine - new recording"
"9mm parabellum bullet","vampire","supernova"
"9mm parabellum bullet","vampire","vampiregirl"
"9mm parabellum bullet","waltz on life line","lady rainy"
"9mm parabellum bullet","waltz on life line","ロンリーボーイ"
"9mm parabellum bullet","waltz on life line","反逆のマーチ"
"9mm parabellum bullet","waltz on life line","生命のワルツ"
"9mm parabellum bullet","インフェルノ","インフェルノ"
"9mm parabellum bullet","反逆のマーチ / ダークホース / 誰も知らない / mad pierrot","誰も知らない"
"9th wonder","zion ii","lovekills!!!"
"[ k s r ]","peace + harmony","lily apart"
"[.que]","dreaming","20191014"
"[alexandros]","a.l.x.d","leaving grapefruits"
"[alexandros]","bedroom joule","rooftop"
"[alexandros]","bedroom joule","月色ホライズン - bedroom ver."
"[alexandros]","but wait. cats?","クラッシュ"
"[alexandros]","i wanna go to hawaii","my blueberry morning"
"[alexandros]","kabuto","kabuto"
"[alexandros]","schwarzenegger","12/26以降の年末ソング"
"[alexandros]","schwarzenegger","el camino"
"[alexandros]","schwarzenegger","言え"
"[alexandros]","sleepless in brooklyn","fish tacos party"
"[alexandros]","sleepless in brooklyn","kabuto"
"[alexandros]","sleepless in brooklyn","spit!"
"[alexandros]","sleepless in brooklyn","your song"
"[alexandros]","where's my history?","adventure"
"[alexandros]","where's my history?","dracula la"
"[alexandros]","where's my history?","droshky!"
"[alexandros]","where's my history?","feel like"
"[alexandros]","where's my history?","for freedom"
"[alexandros]","where's my history?","leaving grapefruits"
"[alexandros]","where's my history?","starrrrrrr"
"[alexandros]","where's my history?","ムーンソング"
"[alexandros]","where's my history?","月色ホライズン"
"[alexandros]","where's my potato?","da la la la"
"[alexandros]","where's my potato?","yeah yeah yeah"
"[alexandros]","ワタリドリ/dracula la","adam's apple pie"
"[alexandros]","閃光 (deluxe edition)","閃光 - instrumental"
"[bsd.u]","444","french inhale"
"[bsd.u]","444","her smile"
"[bsd.u]","444","laced"
"[bsd.u]","444","when we're alone"
"[bsd.u]","a sad kind of bliss","bebop"
"[bsd.u]","a sad kind of bliss","outro"
"[bsd.u]","bless vol. 2","4 [bump]"
